Tanggal,Produk,Kategori,Harga,Jumlah,Wilayah
2026-02-23,Keyboard,Elektronik,250000,9,Mojokerto
2026-02-24,Laptop,Elektronik,8000000,10,Gresik
2026-02-25,Lampu,Furnitur,200000,1,Surabaya
2026-02-26,Meja,Furnitur,1000000,5,Sidoarjo
2026-02-27,Laptop,Elektronik,8000000,4,Mojokerto
2026-02-28,Mouse,Elektronik,150000,2,Pasuruan
2026-03-01,Lampu,Furnitur,200000,2,Mojokerto
2026-03-02,Keyboard,Elektronik,250000,3,Pasuruan
2026-03-03,Lampu,Furnitur,200000,9,Sidoarjo
2026-03-04,Monitor,Elektronik,2000000,9,Mojokerto
2026-03-05,Kursi,Furnitur,500000,4,Mojokerto
2026-03-06,Printer,Elektronik,2500000,5,Malang
2026-03-07,Meja,Furnitur,1000000,8,Mojokerto
2026-03-08,Lampu,Furnitur,200000,2,Sidoarjo
2026-03-09,Printer,Elektronik,2500000,2,Gresik
2026-03-10,Laptop,Elektronik,8000000,10,Mojokerto
2026-03-11,Printer,Elektronik,2500000,10,Sidoarjo
2026-03-12,Laptop,Elektronik,8000000,2,Pasuruan
2026-03-13,Laptop,Elektronik,8000000,4,Surabaya
2026-03-14,Laptop,Elektronik,8000000,6,Surabaya
2026-03-15,Rak,Furnitur,700000,4,Gresik
2026-03-16,Lampu,Furnitur,200000,4,Mojokerto
2026-03-17,Keyboard,Elektronik,250000,10,Mojokerto
2026-03-18,Lampu,Furnitur,200000,4,Malang
2026-03-19,Kursi,Furnitur,500000,4,Surabaya
2026-03-20,Mouse,Elektronik,150000,7,Gresik
2026-03-21,Kursi,Furnitur,500000,7,Malang
2026-03-22,Laptop,Elektronik,8000000,2,Surabaya
2026-03-23,Kursi,Furnitur,500000,6,Surabaya
2026-03-24,Printer,Elektronik,2500000,4,Sidoarjo
2026-03-25,Rak,Furnitur,700000,8,Sidoarjo
2026-03-26,Kursi,Furnitur,500000,3,Gresik
2026-03-27,Lampu,Furnitur,200000,4,Surabaya
2026-03-28,Lampu,Furnitur,200000,9,Surabaya
2026-03-29,Laptop,Elektronik,8000000,9,Surabaya
2026-03-30,Mouse,Elektronik,150000,4,Sidoarjo
2026-03-31,Kursi,Furnitur,500000,8,Malang
2026-04-01,Printer,Elektronik,2500000,7,Surabaya
2026-04-02,Keyboard,Elektronik,250000,7,Surabaya
2026-04-03,Kursi,Furnitur,500000,5,Malang
2026-04-04,Monitor,Elektronik,2000000,7,Pasuruan
2026-04-05,Rak,Furnitur,700000,8,Sidoarjo
2026-04-06,Printer,Elektronik,2500000,5,Sidoarjo
2026-04-07,Laptop,Elektronik,8000000,10,Pasuruan
2026-04-08,Rak,Furnitur,700000,1,Pasuruan
2026-04-09,Meja,Furnitur,1000000,1,Surabaya
2026-04-10,Lampu,Furnitur,200000,9,Mojokerto
2026-04-11,Keyboard,Elektronik,250000,1,Mojokerto
2026-04-12,Mouse,Elektronik,150000,3,Surabaya
2026-04-13,Mouse,Elektronik,150000,4,Malang
2026-04-14,Mouse,Elektronik,150000,10,Sidoarjo
2026-04-15,Laptop,Elektronik,8000000,10,Surabaya
2026-04-16,Kursi,Furnitur,500000,10,Mojokerto
2026-04-17,Rak,Furnitur,700000,6,Gresik
2026-04-18,Printer,Elektronik,2500000,6,Sidoarjo
2026-04-19,Monitor,Elektronik,2000000,7,Sidoarjo
2026-04-20,Monitor,Elektronik,2000000,8,Gresik
2026-04-21,Mouse,Elektronik,150000,1,Malang
2026-04-22,Mouse,Elektronik,150000,2,Mojokerto
2026-04-23,Printer,Elektronik,2500000,9,Gresik
2026-04-24,Keyboard,Elektronik,250000,6,Surabaya
2026-04-25,Printer,Elektronik,2500000,6,Gresik
2026-04-26,Keyboard,Elektronik,250000,8,Mojokerto
2026-04-27,Monitor,Elektronik,2000000,10,Pasuruan
2026-04-28,Rak,Furnitur,700000,1,Pasuruan
2026-04-29,Rak,Furnitur,700000,5,Pasuruan
2026-04-30,Mouse,Elektronik,150000,3,Gresik
2026-05-01,Mouse,Elektronik,150000,2,Pasuruan
2026-05-02,Rak,Furnitur,700000,3,Gresik
2026-05-03,Monitor,Elektronik,2000000,10,Sidoarjo
2026-05-04,Meja,Furnitur,1000000,4,Pasuruan
2026-05-05,Monitor,Elektronik,2000000,9,Malang
2026-05-06,Monitor,Elektronik,2000000,1,Surabaya
2026-05-07,Kursi,Furnitur,500000,5,Surabaya
2026-05-08,Laptop,Elektronik,8000000,6,Sidoarjo
2026-05-09,Monitor,Elektronik,2000000,3,Pasuruan
2026-05-10,Lampu,Furnitur,200000,9,Pasuruan
2026-05-11,Kursi,Furnitur,500000,9,Surabaya
2026-05-12,Mouse,Elektronik,150000,2,Pasuruan
2026-05-13,Keyboard,Elektronik,250000,9,Surabaya
2026-05-14,Meja,Furnitur,1000000,10,Mojokerto
2026-05-15,Keyboard,Elektronik,250000,7,Sidoarjo
2026-05-16,Laptop,Elektronik,8000000,5,Gresik
2026-05-17,Laptop,Elektronik,8000000,6,Sidoarjo
2026-05-18,Printer,Elektronik,2500000,2,Gresik
2026-05-19,Rak,Furnitur,700000,7,Mojokerto
2026-05-20,Keyboard,Elektronik,250000,4,Sidoarjo
2026-05-21,Keyboard,Elektronik,250000,7,Surabaya
2026-05-22,Keyboard,Elektronik,250000,6,Malang
2026-05-23,Printer,Elektronik,2500000,5,Sidoarjo
2026-05-24,Mouse,Elektronik,150000,7,Surabaya
2026-05-25,Lampu,Furnitur,200000,4,Sidoarjo
2026-05-26,Lampu,Furnitur,200000,6,Gresik
2026-05-27,Printer,Elektronik,2500000,4,Surabaya
2026-05-28,Printer,Elektronik,2500000,7,Gresik
2026-05-29,Monitor,Elektronik,2000000,2,Gresik
2026-05-30,Meja,Furnitur,1000000,9,Malang
2026-05-31,Rak,Furnitur,700000,6,Surabaya
2026-06-01,Mouse,Elektronik,150000,5,Sidoarjo
2026-06-02,Monitor,Elektronik,2000000,1,Surabaya
2026-06-03,Kursi,Furnitur,500000,6,Pasuruan
2026-06-04,Meja,Furnitur,1000000,7,Mojokerto
2026-06-05,Rak,Furnitur,700000,2,Malang
2026-06-06,Printer,Elektronik,2500000,5,Surabaya
2026-06-07,Kursi,Furnitur,500000,1,Mojokerto
2026-06-08,Rak,Furnitur,700000,4,Gresik
2026-06-09,Kursi,Furnitur,500000,2,Pasuruan
2026-06-10,Meja,Furnitur,1000000,10,Gresik
2026-06-11,Mouse,Elektronik,150000,5,Mojokerto
2026-06-12,Monitor,Elektronik,2000000,7,Gresik
2026-06-13,Kursi,Furnitur,500000,5,Mojokerto
2026-06-14,Keyboard,Elektronik,250000,4,Malang
2026-06-15,Kursi,Furnitur,500000,3,Mojokerto
2026-06-16,Monitor,Elektronik,2000000,7,Mojokerto
2026-06-17,Laptop,Elektronik,8000000,5,Gresik
2026-06-18,Printer,Elektronik,2500000,7,Mojokerto
2026-06-19,Meja,Furnitur,1000000,8,Malang
2026-06-20,Lampu,Furnitur,200000,4,Mojokerto
2026-06-21,Lampu,Furnitur,200000,3,Pasuruan
2026-06-22,Mouse,Elektronik,150000,5,Mojokerto
2026-06-23,Meja,Furnitur,1000000,2,Sidoarjo
2026-06-24,Monitor,Elektronik,2000000,4,Sidoarjo
2026-06-25,Keyboard,Elektronik,250000,1,Surabaya
2026-06-26,Printer,Elektronik,2500000,8,Mojokerto
2026-06-27,Mouse,Elektronik,150000,8,Malang
2026-06-28,Printer,Elektronik,2500000,7,Malang
2026-06-29,Kursi,Furnitur,500000,4,Sidoarjo
2026-01-01,Laptop,Elektronik,8000000,2,Malang
2026-01-02,Printer,Elektronik,2500000,3,Pasuruan
2026-01-03,Rak,Furnitur,700000,8,Surabaya
2026-01-04,Rak,Furnitur,700000,4,Surabaya
2026-01-05,Lampu,Furnitur,200000,3,Malang
2026-01-06,Rak,Furnitur,700000,9,Mojokerto
2026-01-07,Meja,Furnitur,1000000,8,Mojokerto
2026-01-08,Rak,Furnitur,700000,7,Mojokerto
2026-01-09,Lampu,Furnitur,200000,3,Pasuruan
2026-01-10,Lampu,Furnitur,200000,8,Gresik
2026-01-11,Printer,Elektronik,2500000,5,Mojokerto
2026-01-12,Lampu,Furnitur,200000,4,Gresik
2026-01-13,Lampu,Furnitur,200000,2,Pasuruan
2026-01-14,Monitor,Elektronik,2000000,4,Gresik
2026-01-15,Meja,Furnitur,1000000,6,Mojokerto
2026-01-16,Mouse,Elektronik,150000,3,Sidoarjo
2026-01-17,Printer,Elektronik,2500000,7,Pasuruan
2026-01-18,Keyboard,Elektronik,250000,4,Surabaya
2026-01-19,Kursi,Furnitur,500000,7,Gresik
2026-01-20,Rak,Furnitur,700000,8,Malang
2026-01-21,Laptop,Elektronik,8000000,4,Malang
2026-01-22,Kursi,Furnitur,500000,10,Pasuruan
2026-01-23,Laptop,Elektronik,8000000,10,Malang
2026-01-24,Lampu,Furnitur,200000,1,Gresik
2026-01-25,Monitor,Elektronik,2000000,7,Malang
2026-01-26,Rak,Furnitur,700000,9,Mojokerto
2026-01-27,Printer,Elektronik,2500000,8,Sidoarjo
2026-01-28,Monitor,Elektronik,2000000,7,Malang
2026-01-29,Laptop,Elektronik,8000000,7,Gresik
2026-01-30,Kursi,Furnitur,500000,3,Malang
2026-01-31,Keyboard,Elektronik,250000,10,Mojokerto
2026-02-01,Laptop,Elektronik,8000000,7,Mojokerto
2026-02-02,Laptop,Elektronik,8000000,2,Pasuruan
2026-02-03,Kursi,Furnitur,500000,3,Malang
2026-02-04,Keyboard,Elektronik,250000,1,Gresik
2026-02-05,Kursi,Furnitur,500000,6,Sidoarjo
2026-02-06,Lampu,Furnitur,200000,6,Gresik
2026-02-07,Kursi,Furnitur,500000,5,Malang
2026-02-08,Monitor,Elektronik,2000000,2,Malang
2026-02-09,Laptop,Elektronik,8000000,9,Surabaya
2026-02-10,Meja,Furnitur,1000000,4,Pasuruan
2026-02-11,Mouse,Elektronik,150000,1,Surabaya
2026-02-12,Printer,Elektronik,2500000,4,Surabaya
2026-02-13,Keyboard,Elektronik,250000,4,Sidoarjo
2026-02-14,Lampu,Furnitur,200000,2,Mojokerto
2026-02-15,Printer,Elektronik,2500000,8,Pasuruan
2026-02-16,Monitor,Elektronik,2000000,6,Sidoarjo
2026-02-17,Mouse,Elektronik,150000,3,Gresik
2026-02-18,Mouse,Elektronik,150000,10,Surabaya
2026-02-19,Monitor,Elektronik,2000000,10,Pasuruan
2026-02-20,Kursi,Furnitur,500000,7,Pasuruan
2026-02-21,Printer,Elektronik,2500000,2,Mojokerto
2026-02-22,Printer,Elektronik,2500000,2,Pasuruan
2026-02-23,Monitor,Elektronik,2000000,10,Surabaya
2026-02-24,Laptop,Elektronik,8000000,6,Mojokerto
2026-02-25,Kursi,Furnitur,500000,6,Surabaya
2026-02-26,Rak,Furnitur,700000,6,Surabaya
2026-02-27,Kursi,Furnitur,500000,8,Surabaya
2026-02-28,Kursi,Furnitur,500000,6,Pasuruan
2026-03-01,Lampu,Furnitur,200000,3,Malang
2026-03-02,Keyboard,Elektronik,250000,9,Pasuruan
2026-03-03,Monitor,Elektronik,2000000,10,Mojokerto
2026-03-04,Lampu,Furnitur,200000,8,Malang
2026-03-05,Monitor,Elektronik,2000000,6,Sidoarjo
2026-03-06,Mouse,Elektronik,150000,5,Malang
2026-03-07,Printer,Elektronik,2500000,8,Mojokerto
2026-03-08,Kursi,Furnitur,500000,6,Surabaya
2026-03-09,Lampu,Furnitur,200000,6,Sidoarjo
2026-03-10,Lampu,Furnitur,200000,4,Gresik
2026-03-11,Monitor,Elektronik,2000000,6,Gresik
2026-03-12,Monitor,Elektronik,2000000,9,Surabaya
2026-03-13,Rak,Furnitur,700000,4,Surabaya
2026-03-14,Printer,Elektronik,2500000,7,Malang
2026-03-15,Rak,Furnitur,700000,4,Pasuruan
2026-03-16,Lampu,Furnitur,200000,8,Malang
2026-03-17,Laptop,Elektronik,8000000,2,Gresik
2026-03-18,Printer,Elektronik,2500000,7,Pasuruan
2026-03-19,Printer,Elektronik,2500000,5,Pasuruan
2026-03-20,Meja,Furnitur,1000000,8,Mojokerto
2026-03-21,Rak,Furnitur,700000,6,Malang
2026-03-22,Rak,Furnitur,700000,6,Gresik
2026-03-23,Lampu,Furnitur,200000,5,Gresik
2026-03-24,Monitor,Elektronik,2000000,4,Surabaya
2026-03-25,Printer,Elektronik,2500000,6,Surabaya
2026-03-26,Rak,Furnitur,700000,3,Sidoarjo
2026-03-27,Printer,Elektronik,2500000,8,Gresik
2026-03-28,Rak,Furnitur,700000,10,Gresik
2026-03-29,Mouse,Elektronik,150000,4,Gresik
2026-03-30,Printer,Elektronik,2500000,6,Sidoarjo
2026-03-31,Monitor,Elektronik,2000000,1,Pasuruan
2026-04-01,Rak,Furnitur,700000,3,Gresik
2026-04-02,Laptop,Elektronik,8000000,1,Mojokerto
2026-04-03,Monitor,Elektronik,2000000,3,Pasuruan
2026-04-04,Lampu,Furnitur,200000,2,Surabaya
2026-04-05,Monitor,Elektronik,2000000,8,Malang
2026-04-06,Lampu,Furnitur,200000,6,Sidoarjo
2026-04-07,Laptop,Elektronik,8000000,5,Malang
2026-04-08,Mouse,Elektronik,150000,2,Malang
2026-04-09,Lampu,Furnitur,200000,2,Mojokerto
2026-04-10,Laptop,Elektronik,8000000,3,Sidoarjo
2026-04-11,Monitor,Elektronik,2000000,2,Sidoarjo
2026-04-12,Mouse,Elektronik,150000,9,Malang
2026-04-13,Printer,Elektronik,2500000,9,Malang
2026-04-14,Lampu,Furnitur,200000,8,Gresik
2026-04-15,Kursi,Furnitur,500000,5,Mojokerto
2026-04-16,Laptop,Elektronik,8000000,10,Pasuruan
2026-04-17,Mouse,Elektronik,150000,4,Pasuruan
2026-04-18,Printer,Elektronik,2500000,5,Pasuruan
2026-04-19,Mouse,Elektronik,150000,3,Sidoarjo
2026-04-20,Keyboard,Elektronik,250000,9,Surabaya
2026-04-21,Keyboard,Elektronik,250000,1,Malang
2026-04-22,Lampu,Furnitur,200000,10,Malang
2026-04-23,Monitor,Elektronik,2000000,1,Sidoarjo
2026-04-24,Monitor,Elektronik,2000000,5,Pasuruan
2026-04-25,Lampu,Furnitur,200000,2,Pasuruan
2026-04-26,Printer,Elektronik,2500000,5,Pasuruan
2026-04-27,Printer,Elektronik,2500000,7,Surabaya
2026-04-28,Rak,Furnitur,700000,4,Pasuruan
2026-04-29,Keyboard,Elektronik,250000,5,Sidoarjo
2026-04-30,Mouse,Elektronik,150000,1,Sidoarjo
2026-05-01,Monitor,Elektronik,2000000,10,Pasuruan
2026-05-02,Monitor,Elektronik,2000000,8,Surabaya
2026-05-03,Lampu,Furnitur,200000,5,Pasuruan
2026-05-04,Kursi,Furnitur,500000,5,Mojokerto
2026-05-05,Rak,Furnitur,700000,8,Malang
2026-05-06,Mouse,Elektronik,150000,10,Surabaya
2026-05-07,Kursi,Furnitur,500000,6,Mojokerto
2026-05-08,Monitor,Elektronik,2000000,1,Surabaya
2026-05-09,Printer,Elektronik,2500000,10,Mojokerto
2026-05-10,Laptop,Elektronik,8000000,5,Mojokerto
2026-05-11,Laptop,Elektronik,8000000,3,Malang
2026-05-12,Rak,Furnitur,700000,8,Gresik
2026-05-13,Keyboard,Elektronik,250000,10,Malang
2026-05-14,Lampu,Furnitur,200000,2,Malang
2026-05-15,Meja,Furnitur,1000000,7,Gresik
2026-05-16,Meja,Furnitur,1000000,2,Sidoarjo
2026-05-17,Meja,Furnitur,1000000,7,Pasuruan
2026-05-18,Lampu,Furnitur,200000,5,Pasuruan
2026-05-19,Kursi,Furnitur,500000,9,Surabaya
2026-05-20,Lampu,Furnitur,200000,2,Gresik
2026-05-21,Monitor,Elektronik,2000000,6,Surabaya
2026-05-22,Kursi,Furnitur,500000,9,Surabaya
2026-05-23,Rak,Furnitur,700000,8,Malang
2026-05-24,Laptop,Elektronik,8000000,4,Mojokerto
2026-05-25,Meja,Furnitur,1000000,10,Malang
2026-05-26,Lampu,Furnitur,200000,1,Sidoarjo
2026-05-27,Monitor,Elektronik,2000000,9,Sidoarjo
2026-05-28,Monitor,Elektronik,2000000,8,Pasuruan
2026-05-29,Lampu,Furnitur,200000,2,Surabaya
2026-05-30,Printer,Elektronik,2500000,3,Gresik
2026-05-31,Rak,Furnitur,700000,1,Mojokerto
2026-06-01,Kursi,Furnitur,500000,2,Sidoarjo
2026-06-02,Mouse,Elektronik,150000,8,Surabaya
2026-06-03,Keyboard,Elektronik,250000,8,Pasuruan
2026-06-04,Monitor,Elektronik,2000000,9,Pasuruan
2026-06-05,Monitor,Elektronik,2000000,7,Malang
2026-06-06,Lampu,Furnitur,200000,4,Malang
2026-06-07,Rak,Furnitur,700000,3,Malang
2026-06-08,Printer,Elektronik,2500000,10,Mojokerto
2026-06-09,Keyboard,Elektronik,250000,2,Gresik
2026-06-10,Kursi,Furnitur,500000,6,Mojokerto
2026-06-11,Monitor,Elektronik,2000000,1,Gresik
2026-06-12,Monitor,Elektronik,2000000,10,Mojokerto
2026-06-13,Lampu,Furnitur,200000,3,Malang
2026-06-14,Rak,Furnitur,700000,8,Gresik
2026-06-15,Meja,Furnitur,1000000,9,Mojokerto
2026-06-16,Kursi,Furnitur,500000,8,Gresik
2026-06-17,Printer,Elektronik,2500000,4,Mojokerto
2026-06-18,Kursi,Furnitur,500000,4,Malang
2026-06-19,Laptop,Elektronik,8000000,6,Pasuruan
2026-06-20,Lampu,Furnitur,200000,7,Malang
2026-06-21,Keyboard,Elektronik,250000,8,Surabaya
2026-06-22,Keyboard,Elektronik,250000,9,Mojokerto
2026-06-23,Meja,Furnitur,1000000,2,Malang
2026-06-24,Mouse,Elektronik,150000,9,Malang
2026-06-25,Laptop,Elektronik,8000000,3,Malang
2026-06-26,Keyboard,Elektronik,250000,2,Malang
2026-06-27,Monitor,Elektronik,2000000,6,Mojokerto
2026-06-28,Kursi,Furnitur,500000,2,Gresik
2026-06-29,Rak,Furnitur,700000,7,Gresik
2026-01-01,Lampu,Furnitur,200000,9,Surabaya
2026-01-02,Mouse,Elektronik,150000,4,Pasuruan
2026-01-03,Monitor,Elektronik,2000000,4,Pasuruan
2026-01-04,Mouse,Elektronik,150000,7,Surabaya
2026-01-05,Mouse,Elektronik,150000,8,Sidoarjo
2026-01-06,Monitor,Elektronik,2000000,1,Surabaya
2026-01-07,Meja,Furnitur,1000000,1,Gresik
2026-01-08,Meja,Furnitur,1000000,6,Malang
2026-01-09,Keyboard,Elektronik,250000,4,Mojokerto
2026-01-10,Kursi,Furnitur,500000,10,Pasuruan
2026-01-11,Keyboard,Elektronik,250000,3,Sidoarjo
2026-01-12,Mouse,Elektronik,150000,10,Malang
2026-01-13,Printer,Elektronik,2500000,8,Mojokerto
2026-01-14,Keyboard,Elektronik,250000,4,Malang
2026-01-15,Monitor,Elektronik,2000000,8,Gresik
2026-01-16,Laptop,Elektronik,8000000,8,Gresik
2026-01-17,Rak,Furnitur,700000,3,Surabaya
2026-01-18,Lampu,Furnitur,200000,6,Mojokerto
2026-01-19,Monitor,Elektronik,2000000,7,Pasuruan
2026-01-20,Monitor,Elektronik,2000000,8,Gresik
2026-01-21,Printer,Elektronik,2500000,7,Malang
2026-01-22,Mouse,Elektronik,150000,4,Malang
2026-01-23,Meja,Furnitur,1000000,10,Gresik
2026-01-24,Monitor,Elektronik,2000000,1,Pasuruan
2026-01-25,Kursi,Furnitur,500000,5,Surabaya
2026-01-26,Laptop,Elektronik,8000000,10,Pasuruan
2026-01-27,Lampu,Furnitur,200000,5,Sidoarjo
2026-01-28,Meja,Furnitur,1000000,4,Pasuruan
2026-01-29,Printer,Elektronik,2500000,10,Gresik
2026-01-30,Keyboard,Elektronik,250000,2,Pasuruan
2026-01-31,Laptop,Elektronik,8000000,5,Malang
2026-02-01,Laptop,Elektronik,8000000,10,Gresik
2026-02-02,Keyboard,Elektronik,250000,2,Gresik
2026-02-03,Meja,Furnitur,1000000,7,Sidoarjo
2026-02-04,Printer,Elektronik,2500000,3,Mojokerto
2026-02-05,Meja,Furnitur,1000000,9,Mojokerto
2026-02-06,Monitor,Elektronik,2000000,3,Gresik
2026-02-07,Lampu,Furnitur,200000,5,Pasuruan
2026-02-08,Meja,Furnitur,1000000,2,Malang
2026-02-09,Mouse,Elektronik,150000,3,Sidoarjo
2026-02-10,Kursi,Furnitur,500000,9,Gresik
2026-02-11,Mouse,Elektronik,150000,7,Surabaya
2026-02-12,Monitor,Elektronik,2000000,9,Surabaya
2026-02-13,Lampu,Furnitur,200000,6,Pasuruan
2026-02-14,Monitor,Elektronik,2000000,10,Malang
2026-02-15,Meja,Furnitur,1000000,2,Pasuruan
2026-02-16,Printer,Elektronik,2500000,8,Surabaya
2026-02-17,Rak,Furnitur,700000,6,Mojokerto
2026-02-18,Printer,Elektronik,2500000,2,Pasuruan
2026-02-19,Lampu,Furnitur,200000,5,Pasuruan
2026-02-20,Kursi,Furnitur,500000,2,Sidoarjo
2026-02-21,Laptop,Elektronik,8000000,1,Gresik
2026-02-22,Lampu,Furnitur,200000,2,Surabaya
2026-02-23,Printer,Elektronik,2500000,9,Sidoarjo
2026-02-24,Kursi,Furnitur,500000,8,Gresik
2026-02-25,Rak,Furnitur,700000,7,Mojokerto
2026-02-26,Keyboard,Elektronik,250000,7,Pasuruan
2026-02-27,Mouse,Elektronik,150000,8,Mojokerto
2026-02-28,Kursi,Furnitur,500000,5,Surabaya
2026-03-01,Meja,Furnitur,1000000,4,Malang
2026-03-02,Lampu,Furnitur,200000,4,Gresik
2026-03-03,Mouse,Elektronik,150000,6,Mojokerto
2026-03-04,Meja,Furnitur,1000000,1,Malang
2026-03-05,Monitor,Elektronik,2000000,4,Surabaya
2026-03-06,Lampu,Furnitur,200000,2,Pasuruan
2026-03-07,Printer,Elektronik,2500000,10,Surabaya
2026-03-08,Laptop,Elektronik,8000000,6,Sidoarjo
2026-03-09,Keyboard,Elektronik,250000,10,Sidoarjo
2026-03-10,Mouse,Elektronik,150000,9,Sidoarjo
2026-03-11,Printer,Elektronik,2500000,4,Gresik
2026-03-12,Keyboard,Elektronik,250000,10,Surabaya
2026-03-13,Monitor,Elektronik,2000000,3,Sidoarjo
2026-03-14,Rak,Furnitur,700000,5,Sidoarjo
2026-03-15,Mouse,Elektronik,150000,1,Sidoarjo
2026-03-16,Laptop,Elektronik,8000000,6,Sidoarjo
2026-03-17,Meja,Furnitur,1000000,1,Sidoarjo
2026-03-18,Monitor,Elektronik,2000000,1,Sidoarjo
2026-03-19,Kursi,Furnitur,500000,9,Surabaya
2026-03-20,Mouse,Elektronik,150000,8,Malang
2026-03-21,Meja,Furnitur,1000000,9,Mojokerto
2026-03-22,Mouse,Elektronik,150000,8,Mojokerto
2026-03-23,Printer,Elektronik,2500000,10,Surabaya
2026-03-24,Rak,Furnitur,700000,5,Malang
2026-03-25,Laptop,Elektronik,8000000,1,Malang
2026-03-26,Kursi,Furnitur,500000,7,Pasuruan
2026-03-27,Mouse,Elektronik,150000,8,Pasuruan
2026-03-28,Lampu,Furnitur,200000,2,Surabaya
2026-03-29,Meja,Furnitur,1000000,10,Sidoarjo
2026-03-30,Mouse,Elektronik,150000,3,Gresik
2026-03-31,Rak,Furnitur,700000,6,Malang
2026-04-01,Rak,Furnitur,700000,5,Malang
2026-04-02,Rak,Furnitur,700000,10,Malang
2026-04-03,Mouse,Elektronik,150000,2,Pasuruan
2026-04-04,Rak,Furnitur,700000,4,Malang
2026-04-05,Lampu,Furnitur,200000,4,Malang
2026-04-06,Meja,Furnitur,1000000,8,Malang
2026-04-07,Kursi,Furnitur,500000,2,Gresik
2026-04-08,Kursi,Furnitur,500000,6,Pasuruan
2026-04-09,Monitor,Elektronik,2000000,6,Sidoarjo
2026-04-10,Lampu,Furnitur,200000,2,Surabaya
2026-04-11,Mouse,Elektronik,150000,2,Malang
2026-04-12,Mouse,Elektronik,150000,6,Sidoarjo
2026-04-13,Rak,Furnitur,700000,1,Mojokerto
2026-04-14,Rak,Furnitur,700000,9,Gresik
2026-04-15,Mouse,Elektronik,150000,7,Gresik
2026-04-16,Kursi,Furnitur,500000,1,Gresik
2026-04-17,Monitor,Elektronik,2000000,6,Surabaya
2026-04-18,Rak,Furnitur,700000,4,Sidoarjo
2026-04-19,Lampu,Furnitur,200000,4,Surabaya
2026-04-20,Meja,Furnitur,1000000,9,Gresik
2026-04-21,Mouse,Elektronik,150000,5,Mojokerto
2026-04-22,Printer,Elektronik,2500000,7,Mojokerto
2026-04-23,Rak,Furnitur,700000,1,Mojokerto
2026-04-24,Monitor,Elektronik,2000000,1,Sidoarjo
2026-04-25,Monitor,Elektronik,2000000,5,Gresik
